"Timestamp","VIP.FMSPMv2#ACTRI Total Electricity","VIP.FMSPMv2#CC Total kW","VIP.FMSPMv2#CPS Total","VIP.FMSPMv2#CT Total","VIP.FMSPMv2#CVC Total kW","VIP.FMSPMv2#EC Total","VIP.FMSPMv2#La Jolla Med Ctr Total kW","VIP.FMSPMv2#Main Tot kW BMII","VIP.FMSPMv2#MCB-001","VIP.FMSPMv2#MCB-002","VIP.FMSPMv2#MCB-003","VIP.FMSPMv2#MCCP Total kW","VIP.FMSPMv2#MCSS Total","VIP.FMSPMv2#OFF CAMPUS PV TOTAL","VIP.FMSPMv2#On Campus PV Total","VIP.FMSPMv2#SDGE TOTAL IMPORTS","VIP.FMSPMv2#SDGETotal","VIP.FMSPMv2#STG A","VIP.FMSPMv2#STG B","VIP.FMSPMv2#STG TOTAL","VIP.FMSPMv2#Total Campus","VIP.FMSPMv2#Total Generated","VIP.FMSPMv2#Total Generated at CUP","VIP.FMSPMv2#Total Imports to Main Campus","VIP.FMSPMv2#Total Produced at the CUP","VIP.FMSPMv2#Total Produced by PV","VIP.FMSPMv2#Total Produced Off-Campus PV","VIP.FMSPMv2#Total Produced On-Campus PV"
2025-05-27 15:00:00,931.667400360107,991.914047241211,27035.193359375,473.966900765896,591.099409103394,10316.4936523438,,,5126.45703125,5190.03662109375,0,1224.03564453125,8110.18872070313,285.895721435547,1271.78686904907,10316.4936523438,10316.4936523438,0,2317.36083984375,2317.36083984375,40944.7291586399,30624.3410682678,29352.5541992188,,,730.100091934204,174.809448242188,485.814041137695
2025-05-27 15:15:00,917.136238098145,975.371475219727,26984.638671875,474.184252977371,571.389442443848,10160.2416992188,,,5059.49267578125,5100.7490234375,0,1219.94417572021,7987.93798828125,293.083934783936,1046.37348079681,10160.2416992188,10160.2416992188,0,2335.71459960938,2335.71459960938,40530.857213974,30366.7267522812,29320.3532714844,,,712.336164474487,166.080001831055,469.916191101074
2025-05-27 15:30:00,922.227104187012,997.951156616211,27051.775390625,478.10747551918,569.740217208862,10102.3364257813,,,5032.3310546875,5070.00537109375,0,1238.91384124756,8095.55395507813,246.375343322754,1256.87031459808,10102.3364257813,10102.3364257813,0,2327.78833007813,2327.78833007813,40742.7976322174,30636.4340353012,29379.5637207031,,,798.138742923737,157.928863525391,558.50453042984
2025-05-27 15:45:00,905.757312774658,827.972549438477,26948.26953125,478.556956648827,575.107967376709,10135.4248046875,,,5047.19677734375,5088.22802734375,0,1223.69952392578,7810.36254882813,233.83780670166,831.516378879547,10135.4248046875,10135.4248046875,0,2322.32397460938,2322.32397460938,40241.513307333,30102.1098847389,29270.5935058594,,,612.367735385895,150.133941650391,394.174622058868
2025-05-27 16:00:00,914.103649139404,843.801467895508,27133.3330078125,479.037722826004,575.553604125977,8854.0576171875,,,4409.30419921875,4444.75341796875,0,1213.84421539307,7760.23583984375,224.805812835693,756.877004146576,8854.0576171875,8854.0576171875,0,2312.45776367188,2312.45776367188,39060.7475752831,30202.667775631,29445.7907714844,,,548.358519077301,140.747802734375,343.933046340942
2025-05-27 16:15:00,893.919769287109,842.03018951416,27044.5390625,444.52574878931,567.926036834717,8649.7705078125,,,4309.28759765625,4340.48291015625,0,1176.5446472168,7793.78881835938,204.650903701782,784.654800415039,8649.7705078125,8649.7705078125,0,2330.4541015625,2330.4541015625,38813.4593839645,30159.6479644775,29374.9931640625,,,504.863579750061,135.932601928711,303.856631278992
2025-05-27 16:30:00,939.195194244385,852.226608276367,26961.330078125,398.231131494045,567.583995819092,8446.9033203125,,,4206.61328125,4240.2900390625,0,1187.69464874268,7735.51098632813,189.727279663086,643.999959945679,8446.9033203125,8446.9033203125,0,2329.73388671875,2329.73388671875,38385.9802961349,29935.0639247894,29291.0639648438,,,489.794211864471,126.188316345215,304.020714759827
2025-05-27 16:45:00,910.40718460083,845.479064941406,26982.271484375,386.482263982296,560.557600021362,8700.47802734375,,,4335.794921875,4364.68310546875,0,1185.35057067871,7742.39916992188,161.087348937988,447.372397899628,8700.47802734375,8700.47802734375,0,2333.38061523438,2333.38061523438,38467.5487389565,29763.024497509,29315.6520996094,,,367.995343208313,105.331909179688,213.671492576599
2025-05-27 17:00:00,892.407161712646,837.412750244141,27086.29296875,391.706250607967,564.740043640137,8806.513671875,,,4371.3896484375,4435.1240234375,0,1166.47291564941,7573.9287109375,146.19457244873,383.051455497742,8806.513671875,8806.513671875,0,2339.21142578125,2339.21142578125,38619.1128869057,29808.555850029,29425.5043945313,,,324.353185176849,93.2255630493164,182.930599689484
2025-05-27 17:15:00,884.129528045654,864.471176147461,26999.28125,396.175783097744,561.043787002563,8384.689453125,,,4173.85888671875,4210.83056640625,0,1168.88829803467,7480.81591796875,125.60730266571,357.147733926773,8384.689453125,8384.689453125,0,2364.25048828125,2364.25048828125,38346.4357588291,29720.679472208,29363.5317382813,,,301.649147510529,83.9135131835938,174.432734012604
2025-05-27 17:30:00,887.020050048828,835.113098144531,27090.81640625,394.609638750553,603.645111083984,7825.6845703125,,,3874.3994140625,3951.28515625,0,1164.71513366699,7351.54248046875,48.7217960357666,279.362138271332,7825.6845703125,7825.6845703125,0,2330.794921875,2330.794921875,37753.182404995,29700.9734663963,29421.611328125,,,205.076982498169,24.4919872283936,141.502681970596
2025-05-27 17:45:00,856.202175140381,851.508117675781,27014.2548828125,401.027219951153,600.849315643311,7956.0400390625,,,3956.6923828125,3999.34765625,0,1159.89041137695,7363.27197265625,57.3960862159729,223.741080522537,7956.0400390625,7956.0400390625,0,2351.81884765625,2351.81884765625,37748.4415810108,29589.8148109913,29366.0737304688,,,186.595821380615,26.8177795410156,122.904940843582
2025-05-27 18:00:00,864.418613433838,839.03662109375,27020.662109375,396.034389078617,559.2490234375,8035.53247070313,,,3990.751953125,4044.78051757813,0,1147.8031539917,7497.51123046875,54.4207191467285,172.519594430923,8035.53247070313,8035.53247070313,0,2327.30053710938,2327.30053710938,37560.0924122334,29520.4822409153,29347.9626464844,,,175.616610050201,42.1596946716309,99.4902449846268
2025-05-27 18:15:00,909.233726501465,833.526916503906,27041.46484375,393.966541707516,546.141548156738,7761.89208984375,,,3860.11694335938,3901.77514648438,0,1132.76304626465,7434.07080078125,41.8817534446716,100.777114152908,7761.89208984375,7761.89208984375,0,2350.34301757813,2350.34301757813,37258.5842125416,29492.584975481,29391.8078613281,,,122.555031299591,21.6995449066162,69.0699964761734
2025-05-27 18:30:00,875.259696960449,818.655029296875,27063.5595703125,389.791817069054,555.947277069092,7759.166015625,,,3861.93310546875,3897.23291015625,0,1129.52604675293,7397.41772460938,39.4868514537811,84.4948658049107,7759.166015625,7759.166015625,0,2354.98291015625,2354.98291015625,37266.3382185996,29503.0373462737,29418.5424804688,,,115.127156853676,22.0779571533203,62.7099640965462
2025-05-27 18:45:00,868.738220214844,816.413833618164,27071.8857421875,388.859669029713,572.703971862793,7614.4833984375,,,3783.06298828125,3831.42041015625,0,1138.62689208984,7477.35668945313,26.2807958126068,44.5426913052797,7614.4833984375,7614.4833984375,0,2347.984375,2347.984375,37083.0286222249,29464.4128084928,29419.8701171875,,,88.7830237299204,17.5115814208984,41.4150833040476
2025-05-27 19:00:00,855.430065155029,830.580108642578,27031.83203125,393.185721814632,549.253150939941,7718.982421875,,,3842.73193359375,3876.25048828125,0,1122.31705474854,7409.29296875,12.3776037693024,44.5274370908737,7718.982421875,7718.982421875,0,2323.314453125,2323.314453125,37122.7791393995,29399.6739214659,29355.146484375,,,83.2001633942127,8.92206478118896,45.6738085746765
2025-05-27 19:15:00,864.32869720459,806.080230712891,26998.6884765625,392.345949649811,553.142711639404,7649.48559570313,,,3802.75903320313,3846.7265625,0,1133.89332580566,7353.65551757813,1.91637668013573,13.2355035506189,7649.48559570313,7649.48559570313,0,2353.04467773438,2353.04467773438,37018.5887941085,29364.9686578475,29351.7331542969,,,60.0714322142303,0.0999031960964203,32.3151218704879
2025-05-27 19:30:00,870.799987792969,813.795715332031,26950.439453125,391.835104942322,546.119709014893,8272.43798828125,,,4117.0859375,4155.35205078125,0,1143.24236297607,7520.24755859375,1.44770632684231,2.57998466026038,8272.43798828125,8272.43798828125,0,2317.83911132813,2317.83911132813,37547.4127674056,29270.8585491134,29268.2785644531,,,56.0306500066072,0.100918993353844,29.0241137333214
2025-05-27 19:45:00,841.987957000732,811.632415771484,26927.09765625,389.700035452843,543.153141021729,8620.990234375,,,4296.07373046875,4324.91650390625,0,1117.7133102417,7401.44165039063,0.537293573841453,-2.5300305346027,8620.990234375,8620.990234375,0,2334.50756835938,2334.50756835938,37884.2114693662,29259.0751940748,29261.6052246094,,,54.2512427549809,0.406810373067856,27.095515714027
2025-05-27 20:00:00,813.624256134033,797.260047912598,26987.9853515625,393.58606338501,545.000770568848,8728.1708984375,,,4340.3154296875,4387.85546875,0,1088.20085906982,7465.48266601563,-0.335407607257366,-1.54490724951029,8728.1708984375,8728.1708984375,0,2321.18969726563,2321.18969726563,38039.9478605613,29307.6301415786,29309.1750488281,,,54.3887153519318,-0.325721591711044,28.0144485952333
2025-05-27 20:15:00,746.926776885986,809.48095703125,27030.775390625,382.929785251617,549.855558395386,8308.7431640625,,,4127.697265625,4181.0458984375,0,1105.72289276123,7239.69750976563,0.0322983637452126,-0.102225001784973,8308.7431640625,8308.7431640625,0,2343.38842773438,2343.38842773438,37686.9106724897,29374.0615933576,29374.1638183594,,,55.1060033850372,0,28.0425289683044
2025-05-27 20:30:00,771.685855865479,813.048126220703,27052.44921875,386.593871831894,544.360218048096,8567.65380859375,,,4268.501953125,4299.15185546875,0,1109.25183105469,7341.35229492188,0.0320203341543674,-0.152153560913575,8567.65380859375,8567.65380859375,0,2322.89477539063,2322.89477539063,37946.9851259496,29375.1918405797,29375.3439941406,,,55.0983012896031,0,28.0353782270104
2025-05-27 20:45:00,776.983093261719,806.691787719727,27054.6328125,388.4789083004,546.532997131348,8182.1943359375,,,4070.45166015625,4111.74267578125,0,1100.81229400635,7156.15747070313,0.0327117033302784,-0.0971931269159541,8182.1943359375,8182.1943359375,0,2318.91479492188,2318.91479492188,37559.7846580694,29373.450414295,29373.5476074219,,,55.1210394250229,0,28.0561158880591
2025-05-27 21:00:00,760.666938781738,813.358299255371,27058.4736328125,393.502996683121,545.840257644653,8220.20849609375,,,4078.32763671875,4141.880859375,0,1111.77696228027,7255.05590820313,0.0329181216657162,-0.0939791329437867,8220.20849609375,8220.20849609375,0,2328.44067382813,2328.44067382813,37611.1420380942,29386.8203275077,29386.9143066406,,,55.0999762555584,0,28.0292965974659
2025-05-27 21:15:00,758.318782806396,804.787811279297,27031.162109375,386.609846591949,540.72703742981,7820.44067382813,,,3892.6513671875,3927.78930664063,0,1121.82983398438,7160.13671875,0.0328301899135113,-0.101072263787501,7820.44067382813,7820.44067382813,0,2328.56469726563,2328.56469726563,37184.1967063426,29359.6257343768,29359.7268066406,,,55.0832984489389,0,28.0163097293116
2025-05-27 21:30:00,773.283725738525,805.410522460938,27158.98046875,391.138394355774,545.202142715454,6823.4150390625,,,3388.21923828125,3435.19580078125,0,1117.11289978027,7095.79467773438,0.0332987159490585,-0.0767664021695964,6823.4150390625,6823.4150390625,0,2333.35961914063,2333.35961914063,36319.8354512149,29492.2633214885,29492.3400878906,,,55.0774988620542,0,28.0152072613128
2025-05-27 21:45:00,776.101379394531,811.248390197754,27057.783203125,385.088241577148,545.591077804565,7729.49340820313,,,3846.8115234375,3882.68188476563,0,1094.58833312988,8101.17895507813,0.033254723995924,-0.139096454135142,7729.49340820313,7729.49340820313,0,2334.96557617188,2334.96557617188,37126.2484128919,29392.6096828427,29392.7487792969,,,55.0337569862604,0,27.9789025569335
2025-05-27 22:00:00,763.016876220703,808.834518432617,27080.12109375,399.128928422928,533.477468490601,9249.68701171875,,,4604.681640625,4645.00537109375,0,1114.28700256348,8614.28857421875,0.033193115144968,-0.120748210756574,9249.68701171875,9249.68701171875,0,2333.94091796875,2333.94091796875,38667.7324836961,29413.941263508,29414.0620117188,,,55.114006687887,0,28.0514253042638
2025-05-27 22:15:00,751.956615447998,796.306190490723,27094.6650390625,432.424987077713,529.001991271973,8715.892578125,,,4343.2724609375,4372.6201171875,0,1113.90385437012,8594.72021484375,0.0323925614356995,-0.143041911185719,8715.892578125,8715.892578125,0,2336.10595703125,2336.10595703125,38150.4797493791,29430.6279541826,29430.7709960938,,,55.0827644397505,0,28.0156541834585
2025-05-27 22:30:00,755.133335113525,800.525032043457,26832.8701171875,448.3560962677,534.310455322266,8935.7333984375,,,4463.56005859375,4472.17333984375,0,1089.45310974121,8496.07470703125,0.0332477129995823,-0.0776565517880954,8935.7333984375,8935.7333984375,0,2320.72241210938,2320.72241210938,38093.1802567993,29153.5148727451,29153.5925292969,,,55.091280400753,0,28.0287696216255
